run_name,avg_ssim_3d,avg_ssim_2d,avg_mse,avg_mae,avg_rase,avg_fidelity,avg_RSE,num_images,,,
sweep_l12.0_gan0.01_ssim10.0_sc0.5,0.921911134,0.821171246,0.00113213,0.016515661,3.889793838,0.987476771,0.22664003,161,,,Variations between runs are small; model is already in a good regime. Further improvements may need architecture tweaks more than loss rebalancing.
sweep_l12.0_gan0.01_ssim10.0_sc1.0,0.92277681,0.823064918,0.001123483,0.01636201,3.923153273,0.98807567,0.22596063,161,,,
sweep_l12.0_gan0.01_ssim100.0_sc0.5,0.923076233,0.825026501,0.001104957,0.016388968,3.869717508,0.987741272,0.22638533,161,,,
sweep_l12.0_gan0.01_ssim100.0_sc1.0,0.920548226,0.822453725,0.001175904,0.016898561,4.005996236,0.98738294,0.24143678,161,,,
sweep_l12.0_gan0.1_ssim10.0_sc0.5,0.919848636,0.81421115,0.001126569,0.016509684,3.965823579,0.987558357,0.224589,161,,,
sweep_l12.0_gan0.1_ssim10.0_sc1.0,0.919339441,0.817471243,0.001135553,0.016589144,3.948235293,0.987746114,0.23477647,161,,,
sweep_l12.0_gan0.1_ssim100.0_sc0.5,0.92049672,0.817381932,0.001164408,0.016693898,3.971083866,0.987565459,0.23859695,161,,,
sweep_l12.0_gan0.1_ssim100.0_sc1.0,0.921072049,0.821047781,0.001161303,0.016591698,3.938183812,0.987173987,0.22953863,161,,,
sweep_auto_lambda,0.902254001,0.79053468,0.00139941,0.018355157,4.398665193,0.985707022,0.2521126,161,,,
fixed_l1100_gan0_ssim100_sc1.0,0.921252607,0.819256018,0.001136875,0.016448548,3.86074094,0.98747177,0.22243789,161,,,
